Main ID,Incident ID,Incident Type,Region of Incident,Website Date,Incident year,Reported Month,Number of Dead,Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Region of Origin,Cause,Country of Origin,Migration route,Location of death,Information Source,Coordinates,UNSD Geographical Grouping,Article title,Source Quality,URL,Latitude,Longitude
2015.MMP01441,2015.MMP01441,Incident,North America,27/09/2015,2015,September,1,,1,,,1,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"33.377383, -113.496817",Northern America,,5,,33.377383,-113.496817
2015.MMP01510,2015.MMP01510,Incident,North America,18/10/2015,2015,October,1,,1,,,1,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.640333, -112.857167",Northern America,,5,,32.640333,-112.857167
2016.MMP00002,2016.MMP00002,Incident,Central America,02/01/2016,2016,January,3,,3,,,3,3,Central America,Mixed/ Unknown,Honduras,,Northern Mexico',Tiempo,"27.9826499, -103.7840617",Central America,“SUEÑO AMERICANO”: HALLAN CADÁVERES DE TRES HONDUREÑOS EN MÉXICO,3,http://bit.ly/1Sx35VI,27.9826499,-103.7840617
2016.MMP00009,2016.MMP00009,Incident,North America,05/01/2016,2016,January,1,,1,,,1,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.81276, -111.40755",Northern America,,5,http://www.humaneborders.info/app/map.asp,31.81276,-111.40755
2016.MMP00010,2016.MMP00010,Incident,North America,05/01/2016,2016,January,1,,1,,,1,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.9148, -112.54042",Northern America,,5,http://www.humaneborders.info/app/map.asp,31.9148,-112.54042
2016.MMP00019,2016.MMP00019,Incident,North America,08/01/2016,2016,January,4,,4,,1,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Ranch near Falfurrias, Brooks County, Texas, USA",The Monitor,"27.0116055, -98.3848503",Northern America,NEW URGENCY: Border Patrol reports initial results of new Missing Migrant Initiative,1,http://bit.ly/2jdNKus,27.0116055,-98.3848503
2016.MMP00020,2016.MMP00020,Incident,North America,09/01/2016,2016,January,1,,1,,,1,,Central America,Harsh Environment,Guatemala,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.152887, -111.237689",Northern America,,5,http://www.humaneborders.info/app/map.asp,32.152887,-111.237689
2016.MMP00021,2016.MMP00021,Incident,Central America,09/01/2016,2016,January,1,,1,,,1,,Central America,Vehicular Accidents,Honduras,,"Km. 39 on Highway 'El Ceibo', Tenosique, Mexico",@Ruben FigueroaDH,"17.2643417, -91.0018464",Central America,,1,http://bit.ly/1VcSfFs,17.2643417,-91.0018464
2016.MMP00032,2016.MMP00032,Incident,South America,11/01/2016,2016,January,9,6,15,15,,,,Mixed,Drowning,"Pakistan,Sierra Leone,Somalia",Darien,"Near Terrón de Azúcar, Capurganá, Gulf of Urabá, off the coast of Colombia. Additional bodies found at La Playa, Unguía, Chocó, Colombia, on border with Panama. ",Santa fe (radio) and Noticias RCN,"8.2732015, -77.0478857",South America,Armada busca a 15 inmigrantes que naufragaron en el Golfo de Urabá and Defensoría: cuerpos encontrados en playa de Unguía (Chocó) serían de inmigrantes,3,http://bit.ly/1RjW49R,8.2732015,-77.0478857
2016.MMP00034,2016.MMP00034,Incident,Central America,11/01/2016,2016,January,1,,1,,,1,,Central America,Vehicular Accidents,Honduras,,"Las Choapas, near Coatzacoalcos, Veracruz, Mexico",NOAT Agencia de Noticias,"19.1787635, -96.2113357",Central America,Muere Centroamericano al caer del tren,1,http://bit.ly/1Q6RUvF,19.1787635,-96.2113357
2016.MMP00038,2016.MMP00038,Incident,North America,13/01/2016,2016,January,1,,1,,,1,,Central America,Healthcare Inaccessibility,Mexico,US-Mexico border crossing,"In the woods near Falfurrias, Brooks County,Texas, US",Guanajuato Informa and Facebook,"27.0116055, -98.3848503",Northern America,ENCUENTRAN MUERTO A MIGRANTE CORTAZARENSE; LLEVABA 7 MESES PERDIDO,5,http://bit.ly/2ieDFMw,27.0116055,-98.3848503
2016.MMP00059,2016.MMP00059,Incident,Central America,20/01/2016,2016,January,1,,1,,,,,Central America,Vehicular Accidents,"El Salvador,Honduras",,"Villahermosa, Tabasco, Mexico",Dario Present,"17.9927635, -92.9881407",Central America,Muere migrante en accidente en la carretera a Reforma,1,http://bit.ly/29yaGC5,17.9927635,-92.9881407
2016.MMP00071,2016.MMP00071,Incident,Caribbean,21/01/2016,2016,January,1,,1,5,,1,,Caribbean,Violence,Cuba,,"10 km from Palmilla, Dominican",Avance 24 en Linea,"18.8376763, -70.8791497",Caribbean,Muere migrante cubano por disparo de fusil en aguas de Dominicana,1,http://bit.ly/1UCG9n8,18.8376763,-70.8791497
2016.MMP00072,2016.MMP00072,Incident,Central America,21/01/2016,2016,January,1,,1,,,1,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Rio Grande near Nuevo Laredo, Tamaulipas, Mexico",Hoy Tamaulipas,"27.4531416, -99.6148525",Central America,Sin identificar migrante ahogado en el rio Bravo,1,http://bit.ly/1ndeAUz,27.4531416,-99.6148525
2016.MMP00084,2016.MMP00084,Incident,North America,25/01/2016,2016,January,1,,1,,,1,,Central America,Mixed/ Unknown,Mexico,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.8769, -111.78898",Northern America,,5,http://www.humaneborders.info/app/map.asp,31.8769,-111.78898
2016.MMP00087,2016.MMP00087,Incident,North America,26/01/2016,2016,January,1,,1,,,1,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.29187, -113.1067",Northern America,,5,http://www.humaneborders.info/app/map.asp,32.29187,-113.1067
2016.MMP00088,2016.MMP00088,Incident,North America,26/01/2016,2016,January,1,,1,,,1,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.95346, -113.05898",Northern America,,5,http://www.humaneborders.info/app/map.asp,31.95346,-113.05898
2016.MMP00096,2016.MMP00096,Incident,Central America,29/01/2016,2016,January,1,,1,,,1,,Central America,Harsh Environment,Mexico,US-Mexico border crossing,"Rio Grande at Piedras Negras, Cohauila, Mexico",Radio Zacalo,"28.6901482, -100.5676516",Central America,Muere migrante al intentar cruzar a Estados Unidos,1,http://bit.ly/1pNEq38,28.6901482,-100.5676516
2016.MMP00102,2016.MMP00102,Incident,Central America,30/01/2016,2016,January,1,,1,,,1,,Central America,Violence,Honduras,,"Near Mexico City, Mexico",vTV,"19.39068, -99.2836983",Central America,Hondureño se fue a buscar el sueño americano y aparece muerto,1,http://bit.ly/1SNISGK,19.39068,-99.2836983
2016.MMP00106,2016.MMP00106,Incident,North America,31/01/2016,2016,January,1,,1,3,,,,Central America,Vehicular Accidents,Mexico,US-Mexico border crossing,"Mines Road, Laredo, Webb County, Texas",Webb County Office of the Medical Examiner- Dr Corinne Stern,"27.7155889, -99.6987461",Northern America,Fallece inmigrante en volcadura después de persecución de Patrulla Fronteriza,5,http://bit.ly/2aUGjUL,27.7155889,-99.6987461
2016.MMP00107,2016.MMP00107,Incident,North America,25/01/2016,2016,January,1,,1,,,1,,Central America,Drowning,Mexico,US-Mexico border crossing,"Río Bravo, Brownsville, Cameron County, Texas, USA","Operation Identification, Hoy Tamaulipas","25.89901347, -97.4982118607",Northern America,Buscan familiares de migrante muerto en el Río Bravo,5,http://bit.ly/2EFgQhC,25.89901347,-97.49821186
2016.MMP00117,2016.MMP00117,Incident,Caribbean,01/02/2016,2016,February,1,,1,,,1,,Caribbean,Violence,Haiti,Haiti to Dominican,"Restauración municipality, Municipal de Copey, Dajabon, Dominican",7 días,"19.5488493, -71.721089",Caribbean,Investigan muerte de un haitiano y un Dominicano en la frontera,1,http://bit.ly/2mOpLDt,19.5488493,-71.721089
2016.MMP00132,2016.MMP00132,Cumulative Incident,North America,09/02/2016,2016,February,11,,11,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,Webb County Medical Examiner jurisdiction,Webb County Office of the Medical Examiner- Dr Corinne Stern,"27.69836, -99.25236",Northern America,,5,,27.69836,-99.25236
2016.MMP00135,2016.MMP00135,Incident,Central America,08/02/2016,2016,February,1,,1,,,1,,Central America,Vehicular Accidents,Honduras,,"Corner of Cristobal Colon and Derecho de Via in Miguel Hidalgo, Mexico City, Mexico",Impacto Del Sur,"19.32324, -99.2646092",Central America,Migrante muere al caer de la Bestia,1,http://bit.ly/1Ug1Zzg,19.32324,-99.2646092
2016.MMP00138,2016.MMP00138,Incident,North America,09/02/2016,2016,February,1,,1,,,1,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Rio Grande in Brownsville, Cameron County, Texas",Desaparecidos y sin reclamar en la frontera via Facebook,"26.1490665, -97.6906534",Northern America,,4,http://bit.ly/2auGFpF,26.1490665,-97.6906534
2016.MMP00151,2016.MMP00151,Incident,Caribbean,12/02/2016,2016,February,1,25,26,4,,1,,Caribbean,Drowning,Cuba,,"In the Atlantic, taken to puerto de Bahía las Minas, Colón, Panamá",Ciber Cuba,"9.3247093, -80.0103955",Caribbean,La cadena Univisión y el periodista Mario Vallejo tras la pista de balseros cubanos desaparecidos,3,http://bit.ly/2fhv4ai,9.3247093,-80.0103955
2016.MMP00152,2016.MMP00152,Incident,Central America,14/02/2016,2016,February,1,,1,,,1,,Central America,Vehicular Accidents,Honduras,,"train tracks near Cosoleacaque, Mexico",Central Noticias,"17.9990238, -94.6460713",Central America,En Cosolea honudreno muere arrollado por el tren,1,http://bit.ly/26ge4HV,17.9990238,-94.6460713
2016.MMP00153,2016.MMP00153,Incident,Central America,14/02/2016,2016,February,1,,1,,,1,,Central America,Vehicular Accidents,Mexico,,"Train tracks in Minatitlan, Mexico",Impacto Del Sur,"18.0130692, -94.5394339",Central America,Inmigrante muere atropellado por la “Bestia”,1,http://bit.ly/28KedEy,18.0130692,-94.5394339
2016.MMP00155,2016.MMP00155,Incident,Central America,15/02/2016,2016,February,1,,1,11,,,,Latin America / Caribbean (P),Vehicular Accidents,Unknown,,"On highway 150, between Tecamachalco and Tlacotepec de Benito Juarez, Puebla, Mexico",Imagen Poblana,"18.6751351, -97.6442494",Central America,Migrantes centroamericanos sufren accidente: un muerto y 11 lesionados,1,http://bit.ly/28RtAFO,18.6751351,-97.6442494
2016.MMP00168,2016.MMP00168,Incident,Caribbean,17/02/2016,2016,February,,1,1,12,,,,Caribbean,Drowning,Cuba,Caribbean to US,"between Cuba and Man Key, Key West, Florida USA","Sun Sentinel, Miami Herald","23.8669878, -82.297972",Caribbean,Search called off for Cuban migrant in Keys,3,http://bit.ly/1mJq8yn,23.8669878,-82.297972
2016.MMP00173,2016.MMP00173,Incident,North America,18/02/2016,2016,February,4,,4,,,4,,Central America,Vehicular Accidents,Mexico,US-Mexico border crossing,"Highway 59 in Webb County, Texas",Webb County Office of the Medical Examiner- Dr Corinne Stern,"27.7155889, -99.6987461",Northern America,,5,,27.7155889,-99.6987461
2016.MMP00192,2016.MMP00192,Incident,Central America,19/02/2016,2016,February,1,,1,,,1,,Latin America / Caribbean (P),Vehicular Accidents,Unknown,,"Train tracks near Coatzacoalcos, Veracruz, Mexico",Coatza Digital,"18.2681566, -95.8969461",Central America,Encuentran cuerpo de presunto migrante partido en dos en vía del tren en Coatzacoalcos,1,http://bit.ly/2c2uyN1,18.2681566,-95.8969461
2016.MMP00193,2016.MMP00193,Incident,North America,19/02/2016,2016,February,1,,1,,,1,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Rio Grande under the International Miguel Aleman-Roma Bridge, Starr County, Texas",La Tarde,"26.5475045, -98.8662899",Northern America,"Rescatan cuerpo del río Bravo, buscan a otro ahogado",1,http://bit.ly/22hjuxg,26.5475045,-98.8662899
2016.MMP00214,2016.MMP00214,Incident,Central America,21/02/2016,2016,February,1,,1,,,1,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"On Mexican side of US-Mexico border near San Ysidro, California, Mexico",CBS8,"32.5349303, -117.0413138",Central America,Body found near US-Mexico border in San Ysidro,1,http://bit.ly/20PLBTC,32.5349303,-117.0413138
2016.MMP00216,2016.MMP00216,Incident,North America,23/02/2016,2016,February,1,,1,,,1,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.63308, -112.1606",Northern America,,5,http://www.humaneborders.info/app/map.asp,32.63308,-112.1606
2016.MMP00217,2016.MMP00217,Incident,Central America,25/02/2016,2016,February,1,,1,,,1,,Central America,Drowning,Mexico,US-Mexico border crossing,"Rio Bravo, Tamaulipas, Mexico (near Juez de Paz, Rio Grande, Texas)",Via Libre,"26.3277865, -98.7240038",Central America,Buscan a familiares de chiapaneco ahogado en el río Bravo,1,http://bit.ly/1QG2T4a,26.3277865,-98.7240038
2016.MMP00218,2016.MMP00218,Incident,North America,25/02/2016,2016,February,1,,1,,,,,Central America,Mixed/ Unknown,Guatemala,US-Mexico border crossing,"River bank, Rio Grande City, Starr County, Texas, USA",Operation Identification - U.of Texas,"26.364874, -98.8311192667",Northern America,,5,,26.364874,-98.83111927
2016.MMP00222,2016.MMP00222,Incident,Central America,28/02/2016,2016,February,1,,1,,,1,,Central America,Drowning,El Salvador,US-Mexico border crossing,"Rio Grande near Reynosa Diaz, Reynosa, Tamaulipas, Mexico",La Prensa Grafica,"24.215586, -99.4332699",Central America,México: Rescatan cuerpo de salvadoreño que murió ahogado en río Bravo,1,http://bit.ly/1RJAycg,24.215586,-99.4332699
2016.MMP00228,2016.MMP00228,Incident,North America,01/03/2016,2016,March,1,,1,,,1,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.704, -111.85818",Northern America,,5,http://www.humaneborders.info/app/map.asp,31.704,-111.85818
2016.MMP00233,2016.MMP00233,Incident,North America,03/03/2016,2016,March,1,,1,,,1,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.20324, -112.95431",Northern America,,5,http://www.humaneborders.info/app/map.asp,32.20324,-112.95431
2016.MMP00234,2016.MMP00234,Incident,North America,03/03/2016,2016,March,1,,1,,,1,,Central America,Mixed/ Unknown,Mexico,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.826717, -112.1373",Northern America,,5,http://www.humaneborders.info/app/map.asp,31.826717,-112.1373
2016.MMP00238,2016.MMP00238,Incident,North America,06/03/2016,2016,March,1,,1,,,1,,Central America,Mixed/ Unknown,Mexico,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.38652, -113.10317",Northern America,,5,http://www.humaneborders.info/app/map.asp,32.38652,-113.10317
2016.MMP00239,2016.MMP00239,Incident,North America,07/03/2016,2016,March,1,,1,,,1,,Central America,Harsh Environment,Mexico,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.2651, -113.10296",Northern America,,5,http://www.humaneborders.info/app/map.asp,32.2651,-113.10296
2016.MMP00240,2016.MMP00240,Incident,North America,07/03/2016,2016,March,1,,1,,,1,,Central America,Mixed/ Unknown,Mexico,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.15192, -113.069",Northern America,,5,http://www.humaneborders.info/app/map.asp,32.15192,-113.069
2016.MMP00245,2016.MMP00245,Incident,North America,08/03/2016,2016,March,1,,1,,,1,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"in the Rio Grande 1.5 miles from South 15th street, Hidalgo County, Texas",Valley Central,"26.376354, -98.3833477",Northern America,Photos: Sheriff's Office requests help identifying two men found dead in the Rio Grande,1,http://bit.ly/1qrM6bn,26.376354,-98.3833477
2016.MMP00248,2016.MMP00248,Incident,Central America,10/03/2016,2016,March,1,,1,,,1,,Latin America / Caribbean (P),Healthcare Inaccessibility,Unknown,,"Cantera de Villagrán in Tepeji del Río de Ocampo, Hidalgo, Mexico",La Region,"19.8937479, -99.4300048",Central America,Hallan migrante muerto en una comunidad en Tepeji,1,http://bit.ly/24VHHKS,19.8937479,-99.4300048
2016.MMP00255,2016.MMP00255,Incident,Central America,13/03/2016,2016,March,1,,1,,,1,,Central America,Vehicular Accidents,Honduras,,"Near Apizaco in Tlaxcala, Mexico",Twitter and Chanel 6,"19.4167798, -98.4471102",Central America,Buscan identificar a familiares de un hondureño que se accidentó en México,3,http://bit.ly/1VMd8pJ,19.4167798,-98.4471102
2016.MMP00259,2016.MMP00259,Incident,Central America,14/03/2016,2016,March,1,,1,,,1,,Central America,Vehicular Accidents,Honduras,,"Chiapas, Mexico",Desaparecidos y sin reclamar en la frontera via Facebook,"16.474502, -93.2534811",Central America,,4,http://bit.ly/1Y1Gsre,16.474502,-93.2534811
2016.MMP00262,2016.MMP00262,Incident,North America,14/03/2016,2016,March,1,,1,,,1,,Central America,Drowning,Mexico,US-Mexico border crossing,"Near the All American Canal, Imperial County, Baja California",La Voz de la Frontera,"32.7041479, -115.0616912",Northern America,Migrante fallece ahogado en el Todo Americano,1,http://bit.ly/1U0WZNQ,32.7041479,-115.0616912
2016.MMP00264,2016.MMP00264,Incident,Central America,16/03/2016,2016,March,1,,1,,1,,1,Latin America / Caribbean (P),Vehicular Accidents,Unknown,,"On Highway 57 near Los Chorros, Coahuila, Mexico",Zocalo Saltillo,"25.3813561, -100.7909834",Central America,"Morir en México, un ‘pecado’ muy oneroso",1,http://bit.ly/28YRuhD,25.3813561,-100.7909834
2016.MMP00281,2016.MMP00281,Incident,North America,18/03/2016,2016,March,1,,1,,,1,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.206583, -112.665017",Northern America,,5,http://www.humaneborders.info/app/map.asp,32.206583,-112.665017
2016.MMP00282,2016.MMP00282,Incident,Central America,19/03/2016,2016,March,1,,1,,,1,,Latin America / Caribbean (P),Vehicular Accidents,Unknown,,"Train tracks in Ejido Espinazo, Mina, Nuevo Leon, Mexico",Multimedios,"26.0033668, -100.5386708",Central America,Muere migrante tras caer el tren en Mina,1,http://bit.ly/1Qh8x87,26.0033668,-100.5386708
2016.MMP00283,2016.MMP00283,Incident,North America,19/03/2016,2016,March,1,,1,,,1,,Central America,Vehicular Accidents,Mexico,US-Mexico border crossing,"Crossing I-35 near Austin, Texas","South Austin Patch, Guanajuato Informa","30.3062589, -97.8398485",Northern America,Austin Police ID Latest Pedestrian To Be Hit By A Vehicle,3,http://bit.ly/1NwLDda,30.3062589,-97.8398485
2016.MMP00284,2016.MMP00284,Incident,Caribbean,19/03/2016,2016,March,9,,9,18,,,,Caribbean,Mixed/ Unknown,Cuba,Caribbean to US,"130 miles west of Marco Island, off southwest Florida",The Star,"25.9312075, -81.7170878",Caribbean,9 dead as Cuban migrant boat rescued off Florida coast,1,http://on.thestar.com/1T3VVaU,25.9312075,-81.7170878
2016.MMP00286,2016.MMP00286,Incident,Central America,19/03/2016,2016,March,1,,1,,,1,,Latin America / Caribbean (P),Vehicular Accidents,Unknown,,"near train tracks in Ejido Espinazo, Mina, Nuevo Leon, Mexico",Telediario,"26.2690307, -101.1128975",Central America,Muere migrante tras caer el tren en Mina,1,http://bit.ly/1Qh8x87,26.2690307,-101.1128975
2016.MMP00287,2016.MMP00287,Incident,Central America,19/03/2016,2016,March,1,,1,,,1,,Latin America / Caribbean (P),Vehicular Accidents,Unknown,,"Train tracks, Guadalajara, Jalisco, Mexico",Trafico ZMG,"20.129511, -104.4682014",Central America,Hombre pierde la vida al ser arrollado por el tren,1,http://bit.ly/2o4Yi4j,20.129511,-104.4682014
2016.MMP00307,2016.MMP00307,Incident,Central America,20/03/2016,2016,March,1,,1,,,1,,Latin America / Caribbean (P),Vehicular Accidents,Unknown,,"on the Manlio Fabio Altamirano highway, Soledad de Doblado, Mexico",Imagen de Veracruz,"19.0562477, -96.3814844",Central America,Muere supuesto centroamericano en vías de tren,1,http://bit.ly/1swUOX2,19.0562477,-96.3814844
2016.MMP00311,2016.MMP00311,Incident,North America,20/03/2016,2016,March,1,,1,,1,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"near Border Patrol Checkpoint in Sarita, Kenedy County, Texas, USA",KrisTV,"26.9403821, -97.9181768",Northern America,Border Patrol Agents recover three bodies,1,http://bit.ly/1Zqk0JF,26.9403821,-97.9181768
2016.MMP00312,2016.MMP00312,Incident,North America,20/03/2016,2016,March,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"in Riviera, Kleberg County, Texas",KrisTV,"27.4214557, -97.8516369",Northern America,Border Patrol Agents recover three bodies,1,http://bit.ly/1Zqk0JF,27.4214557,-97.8516369
2016.MMP00313,2016.MMP00313,Incident,North America,20/03/2016,2016,March,1,,1,,,,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Canal in Mission, Hidalgo County, Texas",KrisTV,"26.376354, -98.3833477",Northern America,Border Patrol Agents recover three bodies,1,http://bit.ly/1Zqk0JF,26.376354,-98.3833477
2016.MMP00315,2016.MMP00315,Incident,North America,20/03/2016,2016,March,1,,1,,,1,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.0037, -111.705333",Northern America,,5,http://www.humaneborders.info/app/map.asp,32.0037,-111.705333
2016.MMP00316,2016.MMP00316,Incident,Central America,21/03/2016,2016,March,1,,1,,,1,,Latin America / Caribbean (P),Vehicular Accidents,Unknown,,"Km 389 on state highway Manlio Fabio Altamirando, Soledad de Doblado, Mexico",TV Noticias La Pacoyan,"19.0459634, -96.4303668",Central America,Murio mutiliado,1,http://bit.ly/1ScFQPn,19.0459634,-96.4303668
2016.MMP00318,2016.MMP00318,Incident,Central America,22/03/2016,2016,March,1,,1,1,,1,,Central America,Violence,Honduras,,"Near El Ceibo, on federal highway El Ceibo-Tenosique, Mexico",La 72,"17.2649928, -91.0024625",Central America,,1,,17.2649928,-91.0024625
2016.MMP00321,2016.MMP00321,Incident,North America,24/03/2016,2016,March,1,,1,,,1,,Central America,Vehicular Accidents,Mexico,US-Mexico border crossing,"Yuma, Arizona",El Bravo,"32.69266, -114.62762",Northern America,"Muere buscando sueño americano
",1,http://bit.ly/1qtWn6H,32.69266,-114.62762
2016.MMP00323,2016.MMP00323,Incident,Central America,25/03/2016,2016,March,1,,1,,,1,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,,"San Francisco de los Romo, Aguascaliente, Mexico",El Circo,"22.0741876, -102.277884",Central America,Hallaron Muerto a un migrante dentro de un vagón del tren Aguascalientes,3,http://bit.ly/2m2CSAq,22.0741876,-102.277884
2016.MMP00324,2016.MMP00324,Incident,North America,26/03/2016,2016,March,1,,1,,,1,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Rio Grande, Hidalgo County, Texas",Valley Central,"26.376354, -98.3833477",Northern America,"Photos: Sheriff's Office requests help identifying two men found dead in the Rio Grande
",1,http://bit.ly/1qrM6bn,26.376354,-98.3833477
2016.MMP00326,2016.MMP00326,Incident,North America,27/03/2016,2016,March,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"ranch in Falfurrias, Hidalgo County, Texas",La Tarde,"26.376354, -98.3833477",Northern America,"Encuentran dos ilegales muertos
",1,http://bit.ly/1VDljEC,26.376354,-98.3833477
2016.MMP00328,2016.MMP00328,Incident,North America,28/03/2016,2016,March,2,,2,4,,,,Latin America / Caribbean (P),Vehicular Accidents,Unknown,US-Mexico border crossing,"Interstate 8 near Andrade, California","Sonoran News, The Guardian","32.74410414, -114.7250593434",Northern America,Failed smuggling attempt results in two fatalities,3,https://http://bit.ly/2KAFi6a ,32.74410414,-114.7250593
2016.MMP00331,2016.MMP00331,Incident,North America,30/03/2016,2016,March,1,,1,,,1,,Central America,Accidental Death,El Salvador,US-Mexico border crossing,"Mexico-US border, Santa Cruz County, Arizona",canalestrellatv,"31.3649014, -111.0671389",Northern America,Salvadoreño muere al caer del muro fronterizo con Estados Unidos,1,http://bit.ly/2gDN5Ub,31.3649014,-111.0671389
2016.MMP00337,2016.MMP00337,Incident,Central America,31/03/2016,2016,March,4,,4,,,,1,Central America,Vehicular Accidents,El Salvador,,"Huehuetenango, Guatemala",La Pagina,"15.3179289, -91.4971903",Central America,Sepultan a niña migrante salvadoreña que murió en accidente de tránsito en Guatemala,1,http://bit.ly/1RTmKwa,15.3179289,-91.4971903
2016.MMP00338,2016.MMP00338,Incident,Central America,31/03/2016,2016,March,1,,1,,,1,,Central America,Mixed/ Unknown,El Salvador,,"Body found in orchard in Chahuites, Oaxhaca, Mexico",Red Noticias,"16.2907501, -94.1986669",Central America,"ISTMO: Localizan cadáver de salvadoreño, al interior de huerta, en Chahuites",1,http://bit.ly/1Uu8WuM,16.2907501,-94.1986669
2016.MMP00344,2016.MMP00344,Incident,Central America,29/04/2016,2016,April,1,,1,,,1,,Central America,Healthcare Inaccessibility,El Salvador,,"El Escopetazo, Chiapas, Mexico",Grupo Beta Ixtepec,"16.748864, -92.9281107",Central America,,4,,16.748864,-92.9281107
2016.MMP00346,2016.MMP00346,Incident,North America,01/04/2016,2016,April,1,,1,,,1,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.423462, -113.138344",Northern America,,5,http://www.humaneborders.info/app/map.asp,32.423462,-113.138344
2016.MMP00347,2016.MMP00347,Incident,North America,01/04/2016,2016,April,1,,1,,,1,,Central America,Mixed/ Unknown,Mexico,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.329483, -112.115617",Northern America,,5,http://www.humaneborders.info/app/map.asp,32.329483,-112.115617
